ip.session_id,meta.direction,ip.pkts_per_flow,duration,ip.header_len,ip.payload_len,ip.avg_bytes_tot_len,time_between_pkts_sum,time_between_pkts_avg,time_between_pkts_max,time_between_pkts_min,time_between_pkts_std,"(-0.001, 50.0]","(50.0, 100.0]","(100.0, 150.0]","(150.0, 200.0]","(200.0, 250.0]","(250.0, 300.0]","(300.0, 350.0]","(350.0, 400.0]","(400.0, 450.0]","(450.0, 500.0]","(500.0, 550.0]",tcp_pkts_per_flow,pkts_rate,tcp_bytes_per_flow,byte_rate,tcp.tcp_session_payload_up_len,tcp.tcp_session_payload_down_len,"(-0.001, 150.0]","(150.0, 300.0]","(300.0, 450.0]","(450.0, 600.0]","(600.0, 750.0]","(750.0, 900.0]","(900.0, 1050.0]","(1050.0, 1200.0]","(1200.0, 1350.0]","(1350.0, 1500.0]","(1500.0, 10000.0]",tcp.fin,tcp.syn,tcp.rst,tcp.psh,tcp.ack,tcp.urg,sport_g,sport_le,dport_g,dport_le,mean_tcp_pkts,std_tcp_pkts,min_tcp_pkts,max_tcp_pkts,entropy_tcp_pkts,mean_tcp_len,std_tcp_len,min_tcp_len,max_tcp_len,entropy_tcp_len,ssl.tls_version,malware
118,1,5.0,235.8573079109192,100.0,438.0,87.9,2004.9629211425781,400.9925842285156,2004.2378902435303,0.02288818359375,896.2413993776546,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.021199258332450937,326,0.021199258332450937,5,5,4,0,1,0,0,0,0,0,0,0,0,1,1,0,1,4,0,5,0,5,0,50712.0,0.0,50712,50712,0.0,65.2,145.79163213298628,0,326,0,0,1
14013,1,5.0,17777.42041015625,100.0,438.0,87.9,499.2802143096924,99.85604286193848,498.6841678619385,0.016927719116210938,222.95179402728238,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5,0.00028125565378110185,326,0.00028125565378110185,5,5,4,0,1,0,0,0,0,0,0,0,0,1,1,0,1,4,0,5,0,5,0,49249.0,0.0,49249,49249,0.0,65.2,145.79163213298628,0,326,0,0,0
930,1,5.0,1013.4149868488312,100.0,438.0,87.9,2004.6238899230957,400.92477798461914,2004.0719509124756,0.011920928955078125,896.1865351276961,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0049338129639737004,326,0.0049338129639737004,5,5,4,0,1,0,0,0,0,0,0,0,0,1,1,0,1,4,0,5,0,5,0,51524.0,0.0,51524,51524,0.0,65.2,145.79163213298628,0,326,0,0,1
661,0,5.0,714.64106798172,100.0,241.0,87.9,9.741067886352539,1.9482135772705078,8.51297378540039,0.00095367431640625,3.674526027986831,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0069965192654277975,129,0.0069965192654277975,5,5,5,0,0,0,0,0,0,0,0,0,0,1,1,0,2,5,0,5,0,5,0,8080.0,0.0,8080,8080,0.0,25.8,48.74628190949541,0,112,0,0,1
2646,1,5.0,1786.3092939853668,100.0,438.0,87.9,488.6341094970703,97.72682189941406,488.05713653564453,0.010967254638671875,218.2013697528492,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5,0.0027990673377983103,326,0.0027990673377983103,5,5,4,0,1,0,0,0,0,0,0,0,0,1,1,0,1,4,0,5,0,5,0,54253.0,0.0,54253,54253,0.0,65.2,145.79163213298628,0,326,0,0,0
6517,0,5.0,7762.345123052597,100.0,241.0,87.9,11.500358581542969,2.3000717163085938,10.249137878417969,0.0019073486328125,4.447970224187178,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0006441352350014701,129,0.0006441352350014701,5,5,5,0,0,0,0,0,0,0,0,0,0,1,1,0,2,5,0,5,0,5,0,8080.0,0.0,8080,8080,0.0,25.8,48.74628190949541,0,112,0,0,0
582,0,5.0,674.0165588855743,100.0,241.0,87.9,9.605884552001953,1.9211769104003906,8.424043655395508,0.029087066650390625,3.6391184633191513,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.007418215374807778,129,0.007418215374807778,5,5,5,0,0,0,0,0,0,0,0,0,0,1,1,0,2,5,0,5,0,5,0,8080.0,0.0,8080,8080,0.0,25.8,48.74628190949541,0,112,0,0,1
173,0,5.0,346.7141377925873,100.0,241.0,87.9,10.884761810302734,2.176952362060547,9.649038314819336,0.00095367431640625,4.182022111638246,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.014421102155895125,129,0.014421102155895125,5,5,5,0,0,0,0,0,0,0,0,0,0,1,1,0,2,5,0,5,0,5,0,8080.0,0.0,8080,8080,0.0,25.8,48.74628190949541,0,112,0,0,1
820,1,5.0,897.4184188842773,100.0,438.0,87.9,505.1109790802002,101.02219581604004,504.32586669921875,0.02002716064453125,225.45374946139,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5,0.005571537083244057,326,0.005571537083244057,5,5,4,0,1,0,0,0,0,0,0,0,0,1,1,0,1,4,0,5,0,5,0,51414.0,0.0,51414,51414,0.0,65.2,145.79163213298628,0,326,0,0,1
6713,1,5.0,8157.630213975906,100.0,438.0,87.9,2005.5770874023438,401.11541748046875,2005.0239562988281,0.012159347534179688,896.6121520354343,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0006129231000730879,326,0.0006129231000730879,5,5,4,0,1,0,0,0,0,0,0,0,0,1,1,0,1,4,0,5,0,5,0,58331.0,0.0,58331,58331,0.0,65.2,145.79163213298628,0,326,0,0,0
