Normal_prob,Malware_prob
0.29689574,0.70310426
0.27328926,0.72671074
0.29305452,0.7069455
0.2719624,0.7280376
0.4968453,0.5031547
0.3275553,0.6724447
0.488478,0.511522
0.27197766,0.72802234
0.289082,0.710918
0.27195406,0.72804594
0.49675304,0.50324696
0.28205103,0.717949
0.48621148,0.5137885
0.27345914,0.72654086
0.49357247,0.5064275
0.29268676,0.70731324
0.49663913,0.50336087
0.29234546,0.70765454
0.49664742,0.5033526
0.27200598,0.727994
0.29115456,0.70884544
0.2719835,0.7280165
0.29602516,0.70397484
0.29529506,0.70470494
0.49684858,0.5031514
0.49611783,0.50388217
0.28120613,0.71879387
0.49611092,0.5038891
0.27350152,0.7264985
0.49030656,0.50969344
0.4243526,0.5756474
0.29621357,0.70378643
0.29871982,0.7012802
0.47154915,0.52845085
0.49645454,0.50354546
0.30744427,0.6925557
0.31151158,0.6884884
0.28182572,0.7181743
0.49159276,0.50840724
0.29626346,0.70373654
0.30061722,0.6993828
0.39951837,0.6004816
0.2956226,0.7043774
0.31459653,0.68540347
0.2719667,0.7280333
0.2840311,0.7159689
0.49313003,0.50687
0.48597366,0.51402634
0.28361827,0.7163817
0.4962324,0.5037676
0.29729116,0.70270884
0.31067407,0.6893259
0.37816,0.62184
0.49407345,0.50592655
0.4957193,0.5042807
0.49638313,0.50361687
0.27195746,0.72804254
0.4968369,0.5031631
0.4890135,0.5109865
0.49655116,0.50344884
0.4960274,0.5039726
0.29051924,0.70948076
0.2837512,0.7162488
0.27196795,0.72803205
0.49672133,0.5032787
0.30105388,0.6989461
0.48781997,0.51218003
0.4915995,0.5084005
0.29227585,0.70772415
0.2948932,0.7051068
0.30310977,0.69689023
0.28224283,0.71775717
0.4815505,0.5184495
0.29765165,0.70234835
0.4962908,0.5037092
0.27332473,0.7266753
0.49665987,0.5033401
0.3091104,0.6908896
0.4916461,0.5083539
0.35013318,0.6498668
0.2978375,0.7021625
0.49645847,0.5035415
0.27208447,0.7279155
0.27332008,0.7266799
0.4966557,0.5033443
0.28474557,0.7152544
0.32438886,0.67561114
0.29849434,0.70150566
0.28991544,0.71008456
0.29991978,0.7000802
0.48776865,0.51223135
0.29771435,0.70228565
0.30098784,0.69901216
0.49541295,0.50458705
0.2929806,0.7070194
0.27202463,0.72797537
0.35697186,0.64302814
0.47412503,0.525875
0.29461545,0.70538455
0.30869532,0.6913047
0.49645394,0.50354606
0.4968778,0.5031222
0.49651843,0.50348157
0.291529,0.708471
0.31226867,0.6877313
0.3050496,0.6949504
